,subject_code,subject_name,teacher_name,description,department,syllabus,year,semester,ltp,credit
10,AE31006,COMPUTER APPLICATION IN AERO. ENGINEERING,,,Aerospace Engineering,"Numerical solutions of linear and non-linear algebraic equations, ordinarydifferential equations and partial differential equations; conceptual datamodels, methods of organizing, storing and retrieving data, data structures;Elements of modern artificial intelligence (AI) related techniques;introduction to Genetic Algorithms and Artificial Neural Nets; Examples relatedto Aerospace Engineering.",2021,Spring,3-0-0,3
11,AE31007,MECHANICS OF FLIGHT,,,Aerospace Engineering,"Brief history of flight vehicle development with emphasis on key ideas; Thestandard atmosphere; Aircraft components and their function (aerodynamic,propulsive and control); Aircraft performance: steady level flight, climbingand turning flight, range, endurance; fastest climb, including the method ofenergy; takeoff and landing. Unsteady flight performance, high-speed aircraft,helicopters. Books:E L Houghton and A E Brock, Aerodynamics for EngineeringStudents, Edward ArnoldE L Houghton and N B Carruthers, Aerodynamics forEngineering Students, Edward ArnoldN X Vinh, Flight Mechanics of HighPerformance Aircrafts, Cambridge University PressA C Kermode, Mechanics ofFlight, Himalayan Books/Pitman",2021,Spring,3-1-0,4
12,AE31008,THEORY OF JET PROPULSION,,,Aerospace Engineering,"Prerequisites: AE31001              3 - 1 - 0: 4 Credits
Turbojets; Axial Compressor and itsperformance; Elementary Theory of Turbines; Injectors and Fuel Injection,Combustion Chamber performance; Design Procedure. Books:J D Mattingly, Elementsof Gas Turbine Propulsion, McGraw-HillJ D Mattingly, W H Heiser, D H Daley,Aircraft Engine Design, AIAAS L Dixon, Fluid Mechanics, Thermodynamics ofTurbomachinery, Pergamon PressH Cohen, G F C Rogers, and H Saravanamutto, GasTurbine Theory, Longman",2021,Spring,3-1-0,4
13,AE31009,AEROSPACE STRUCTURAL ANALYSIS,,,Aerospace Engineering,"Prerequisites: AE21004                                  3 - 1 - 0: 4 Credits
Analysis of AircraftStructures; Thin-walled structures based on elasticity approach; Torsion,bending and shear of open and closed thin-walled cells; Structural instability;Buckling of columns, linear and nonlinear theories, Southwell method, inelasticbuckling, buckling under nonconservative forces.Books:T H G Megson, AircraftStructures for Engineering Students, Edward ArnoldH Ashley, EngineeringAnalysis of Flight Vehicles, Addison WesleyC K Wang, Introductory StructuralAnalysis with Matrix Method, Englewood Cliffs, Prentice HallE F Bruhn, Analysisand Design of Aircraft Structures, Tri-State Offset CoE E Sechler and L G Dunn,Airplane Structural Analysis and Design, Dover",2021,Spring,3-1-0,4
14,AE31010,VISCOUS FLOW THEORY,,,Aerospace Engineering,"Prerequisites: AE21001              3 - 1 - 0: 4 Credits
Review of incompressible and compressibleviscous flow equations of motion, vorticity transport equation and Vorticitydynamics; Low and High Reynolds number flows; Separated flows and wakes;Laminar and Turbulent Flows; Boundary-layer flows, Transition process andprediction; Turbulent stresses and heat transfer; Equilibrium, entrainment andlag in boundary layer flows; First and second-order boundary layer theory;Differential and integral methods of solution; Viscous-Inviscid interaction;Direct, inverse and semi-inverse coupling.Books:G K Batchelor, An Introductionto Fluid Dynamics, Cambridge University PressF M White, Viscous Fluid Flow,McGraw-Hill InternationalH Schlichting, Boundary Layer Theory, McGraw-HillSGoldstein, Modern Developments in Fluid Dynamics â Vol. 1 and 2, OxfordUniversity Press",2021,Spring,3-1-0,4
15,AE31103,HIGH SPEED AERODYNAMICS,,,Aerospace Engineering,"Prerequisites: AE21001                                  3 - 1 - 0: 4 Credits
Governing equations forcompressible flow; One-dimensional compressible flow, linear and nonlinear wavemotion; normal and oblique shocks, nozzles; Linearized subsonic and supersonicflow theory; Applications to aerofoils and wings; Supersonic panel methods;Method of characteristics; Transonic and hypersonic flows.Books:A H Shapiro,Dynamics and Thermodynamics of Compressible Fluid Flow â Volume I and II,Ronald PressH W Liepmann and A Roshko, Elements of Gas Dynamics, John WileyJ DAnderson, Jr., Modern Compressible Aerodynamics, McGraw-Hill InternationalZ U AWarsi, Fluid Dynamics: Theoretical and Computational Approach, Taylor andFrancisP A Thompson, Compressible Fluid Dynamics, McGraw-HillS Goldstein,Modern Developments in Fluid Dynamics â Vol. 1 and 2, Oxford University Press",2021,Spring,3-1-0,4
16,AE39001,AERODYNAMICS LAB-II,,,Aerospace Engineering,"Prerequisites: AE21002                                  0 - 0 - 3: 2 Credits
Laboratory experimentsrelated to pressure and force measurement on various models using differentmeasuring techniques; Supersonic wind tunnel experiments and flowvisualization. ",2021,Spring,0-0-3,2
17,AE39002,SYSTEM LABORATORY,,,Aerospace Engineering,Not Available,2021,Spring,0-0-3,2
18,AE39003,STRUCTURES LAB -II,,,Aerospace Engineering,"Prerequisites: AE21004                                  0 - 0 - 3: 2 Credits
 Laboratory experimentsrelated to above topics. ",2021,Spring,0-0-3,2
19,AE39004,PROPULSION LABORATORY,,,Aerospace Engineering,"Prerequisites: AE31001              0 - 0 -3: 2 Credits
Measurement of fan, compressor, turbine andnozzle characteristics; combustion related measurements",2021,Spring,0-0-3,2
20,AE48002,COMPREHENSIVE VIVA VOCE,,,Aerospace Engineering,Not Available,2021,Spring,0-0-0,2
21,AE48003,SUMMER TRAINING,,,Aerospace Engineering,Not Available,2021,Spring,0-0-0,2
22,AE49003,AIRCRAFT DESIGN AND OPTIMISATION,,,Aerospace Engineering,"Prerequisites: AE21002, AE21004, AE21006, AE31001, AE31003, AE31005, AE310070 -0 -3: 2 Credits
Definition of aircraft application and its performancerequirements on a priority basis; Optimization techniques: classical methodsand genetic algorithms; Aerodynamic design: basic configuration development,selection of wing planform, fuselage shape, preliminary weight and CGestimation, sizing of fuselage, wings, horizontal tail/canard, fin, controlsurfaces and power plant, power plant selection and aerodynamic integrationwith the airframe, preliminary design optimization with aerodynamic parametersonly; Structural design: V-n diagram, estimation of design loads underdifferent flight conditions, structural layout: wing, tail, control surfaces,fuselage, landing gear, design of spars, ribs and bulkheads, power plantselection and structural integration with airframe, preliminary designoptimization with structural parameters only; Design optimization withaerodynamics, structures, power plant and control parameters.Books:E L Houghtonand A E Brock, Aerodynamics for engineering students, Edward ArnoldT H GMegson, Aircraft structures for engineering students, 3rd Ed., Edward Arnold RL Fox, Optimization methods for engineering design, Addison-WesleyD E Goldberg,Genetic algorithms in search, optimization, and machine learning,AddisonâWesley",2021,Spring,1-0-3,3
23,AE57003,PROJECT,,,Aerospace Engineering,Not Available,2021,Spring,0-0-15,12
24,AE57004,PROJECT,,,Aerospace Engineering,Not Available,2021,Spring,0-0-24,13
25,AE58001,COMPREHENSIVE VIVA VOCE,,,Aerospace Engineering,Not Available,2021,Spring,0-0-0,2
26,AE58002,COMPREHENSIVE VIVA VOCE,,,Aerospace Engineering,Not Available,2021,Spring,0-0-0,2
27,AG20101,CROP PRODUCTION TECHNOLOGY,,,Agricultural and Food Engineering,"Crop Production: Concepts of agronomy; Classification of crops; Techniques ofraising field crops, horticultural crops, medicinal and aromatic plants;Cropping system for major agro-ecological regions; seed and seeding, plantingdensity management, organic and inorganic nutrition of crops, water managementfor higher productivity, management of insects and pests, diseases and weeds;Farm planning and management; Crop growth assessment; Judging crop maturity andharvesting techniques; Organic farming and sustainable agriculture; Greenhousecrop production; Management of dryland agriculture.Crop Simulation: Models for crop yield assessment; Crop management simulationand yield forecasting; Crop response to climate change; Uncertainty and riskevaluation.",2021,Spring,3-0-0,3
28,AG20103,SOIL TECHNOLOGY,,,Agricultural and Food Engineering,"Soil Genesis and Classification: Weathering, formation and composition of soil,classification of soils.Soil Colloids: Inorganic and organic colloids, their nature and physico-chemical properties, ion exchange phenomena.Mineral Nutrition of Plants: Essential elements, chemical fertilizers, organicmanures. Movement of chemicals in soil-root continuumPhysics of Soil: Texture, structure and basic physical properties, retentionand movement of soil water, solute transport, gaseous exchange, soil strengthand thermal properties.Mechanics of Soil: Dynamic properties of soil, stress-strain relations, yieldand failure, soil compaction and consolidation, earth pressure and stability ofslope.Soil Tillage: Types of tillage, influence of tillage on soil properties andcrop performance.Soil Management: Management of acid, saline and sodic soils.",2021,Spring,3-0-0,3
29,AG29001,CROP PRODUCTION TECHNOLOGY LAB.,,,Agricultural and Food Engineering,"Identification of crops; Seed quality, germination, viability and vigor;Estimation of agro-input requirement and their field application; Plantationtechniques and raising of field crops; Biometrics Observations: growth, leafarea index, yield and yield attributes, and yield estimation; Chemical analysisof plant for macro and micronutrients; Crop quality testing.Field experimental design; Field visit; Calibration and evaluation of cropmodel.",2021,Spring,0-0-3,2
30,AG29003,SOIL TECHNOLOGY LAB.,,,Agricultural and Food Engineering,1.Determination of pH and electrical conductivity of soil.2.Estimation of soil organic matter.3.Estimation of cation exchange capacity.4.Determination of major available nutrients.5.Determination of particle size distribution.6.Estimation of single value soil physical constants.7.Determination of particle and bulk density of soil.8.Measurement of soil dispersivity9.Evaluation of liquid and plastic limits.10.Compatibility test.11.Determination of soil water.12.Evaluation of water retention characteristics of soil.13.Measurement of saturated hydraulic conductivity of soil.14.Measurement of infiltration rate.,2021,Spring,0-0-3,2
31,AG29004,AGRICULTURAL BIOTECHNOLOGY LAB.,,,Agricultural and Food Engineering,"Theory componentIntroduction: Cell structure and physiological processes, organellarultrastructure, respiration, photosynthesis, growth regulators and nitrogenmetabolism.Genetic Engineering for Crop Improvement: Plant cell and tissue culture, genetransfer techniques into plant cells, application in agriculture.Microbes in Agriculture and Food: Applied Microbiology in the future ofmankind, moving frontiers of applied microbiology, microbial enzymes and theirapplications in food processing and agro-chemical industries, agro-wasteutilization, biodegradable polymers and their applications, microbialpolysaccharides; Production and utilization of essential amino-acids, chemicalsfrom micro-algae.Micorrhiza: Applications in agriculture and forestry.Food and Beverage Products: Traditional fermented food, single cell protein,production of glutamic acid, lactic acid, gluconic and Itaconic acid.Laboratory componentidentification",2021,Spring,1-0-3,3
32,AG31001,AGRICULTURAL MACHINERY,,,Agricultural and Food Engineering,"Farm machines: Machines and tools for crop production and processing. Machinesfor tillage, sowing, fertilizer application, interculture, plant protection,harvesting and threshing. Equipment design: Principles of operation and designof simple farm equipments and tools. Farm operations: Hitching of implements.Field efficiency. Performance testing. Cost of use of machines. New techniques:Application of computer vision and GIS in farm equipments.",2021,Spring,3-0-0,3
33,AG31002,TRACTOR AND POWER SYSTEMS,,,Agricultural and Food Engineering,Introduction: Types of farm tractors. Trends in tractor design. EnginePerformance: Testing and evaluation of IC engines. Performance characteristicsof SI and CI engines. Governors and their controls. Tractor Transmission:Tractor clutches and brakes. Power transmission system and final drives.Traction Theory: Different types of traction devices. Mechanics of traction andtowed wheels. Evaluating the performance of traction devices. Tractor Chassis:Mechanics of tractor chassis. Lateral and longitudinal stability. Weighttransfer. Steering system. Hitch Systems: Three point linkage geometry. Freelink and restrained link mechanisms. Automatic position and draft controlsystems used in modern tractors. Tractor Test and Performance: Drawbarperformance of tractors. Tractor power cost estimation. Test standards. Tractorergonomics: Human factors in the design of tractor seat and different controls.,2021,Spring,3-0-0,3
34,AG31003,LAND AND WATER RESOURCES ENGINEERING,,,Agricultural and Food Engineering,"Hydrologic cycle: Precipitation: Types, measurement and analysis, missing data,aerial precipitation, consistency of rainfall records and frequency analysis.Runoff: Factors affecting runoff, measurement, methods for estimation of runoffvolume and peak runoff, rating curve, and rainfall-runoff relations. HydrographAnalysis: Components, factors affecting hydrographs, and base flow separation.Unit Hydrograph: Theory and assumptions, unit hydrographs of differentdurations, dimensionless hydrograph, synthetic unit hydrograph, andinstantaneous unit hydrograph. Flood routing: Classification, reservoir andchannel routing. Soil Erosion: Process, types, factors affecting soil erosion,land-use capability classification. Soil Loss Estimation: USLE, MUSLE, andRUSLE. Wind Erosion: Process, control, movement and transport mechanism. WaterErosion: Process, types, and transport mechanism. Erosion Control Measures:Biological and mechanical. Gully Control Measures: Vegetative, temporary andpermanent gully control structures.",2021,Spring,3-1-0,4
35,AG31004,IRRIGATION AND DRAINAGE ENGINEERING,,,Agricultural and Food Engineering,"Water for Irrigation: Sources of water, utilization in various sectors,irrigation potential, and scope for further development and significant issues.Farm Water Delivery System and Control: Design of open channel and undergroundpipelines, water regulating and diversion structures. Measurement of IrrigationWater: Flow measurement in open channels and closed conduits. IrrigationRequirement: Measurement ",2021,Spring,3-1-0,4
36,AG31005,PRINCIPLES OF FOOD ENGINEERING,,,Agricultural and Food Engineering,"Overview of the processing operations carried out for converting agriculturalproduce to food; Classification into momentum, heat and mass transferoperations; Necessity of estimating their transfer rates as function of drivingforce Momentum Transfer: Pressure drop-flow rate relationship for flow throughpipe, rectangular conduit and extruder in laminar flow; Turbulent flow andfanningÃ¢ÂÂs friction factor; Compressible flow: flow through nozzle and porousmedia; Apparent viscosity, generalized viscosity coefficient and generalizedReynolds number for non-Newtonian fluids; Non-Newtonian liquid flow in pipesand slits Heat Transfer: Steady state heat transfer in conduction, convectionand radiation; Overall heat transfer coefficient; Forced, natural convection,condensation and boiling heat transfer; Tubular and plate and fin type heatexchangers and estimation of their effectiveness; NTU-Effectivenessrelationship; Unsteady state heat transfer in plate, cylinder and sphericalbodies; Numerical methods in heat transfer. Mass Transfer: Molecular diffusionand FickÃ¢ÂÂs Law; Steady state mass transfer in equimolar counter diffusionand diffusion through stagnant medium; Diffusion through varying crosssectional area; Convective mass transfer and mass transfer coefficient; Masstransfer coefficients; Unsteady state mass transfer in plate, cylinder andspherical bodies; Analogy between momentum, heat and mass transfer",2021,Spring,3-1-0,4
37,AG31006,FOOD SCIENCE AND TECHNOLOGY,,,Agricultural and Food Engineering,"Food Chemistry: Food quality characteristics; Composition and nutritive valueof common foods, Structure, properties and metabolic function of foodconstituents viz., water, carbohydrates, lipids, proteins, enzymes, vitamins,minerals, pigments, colours and flavouring substances; Undesirable constituentsin foods; Changes in food constituents during processing and storage. FoodMicrobiology: Microbial groupings and identification; Nutrient requirements forbacterial culture; Growth and inactivation kinetics; Harmful and beneficialeffects of microbes, microbes in food industry; Food spoilage, poisoning andintoxication. Food Process Principles: Basic principles of food preservationand processing; Preservation of food by removal or supply of heat, dehydration,irradiation, addition of chemicals and fermentation; CA/MA storage; Wateractivity and food stability. Food Technology: Technological processes forindustrial manufacture of selected foods of commercial importance from plantsand animal sources viz., Jam, Jelly, Marmalade, Pickles, Carbonated beverages,Fruit beverages; Hydrogenated vegetable oil, Tea, Coffee, Cocoa; Margarine,Bakery and Confectionery products; Textured plant protein; Breakfast cereals;Butter, Ice cream, Condensed milk, Cheese, Milk powder, Malted foods and lowfat spread. Food Laws and Standards: Food additives; Food packaging; Qualitycontrol in food industry. ",2021,Spring,3-1-0,4
38,AG31007,THEORY AND DESIGN OF MACHINE ELEMENTS,,,Agricultural and Food Engineering,"Design considerations in machine parts, Materials of construction, Factor ofsafety, Fits and tolerances, Design of machine elements Ã¢ÂÂ shafts, couplings,clutches, brakes, flywheel, belt drives, gear drives, chain drives. Rivettedjoints, Welded connections.Design of cultivators, rotavator, thresher, sprayer.",2021,Spring,3-1-0,4
39,AG31008,POST HARVEST ENGINEERING,,,Agricultural and Food Engineering,"Principles and machinery involved in cleaning and grading; Separationefficiency of grain cleaners and graders; Hydrothermal treatment andconditioning of grains; Principles and equipments for milling of cereals,pulses and oil seeds; Psychrometry: Humidification and dehumidification systemsand their design; Principles of grain drying: Equilibrium moisture content andwater activity; Constant rate and falling rate period drying; Simultaneous Heatand Mass Transfer in Single Grain and Grains in Bulk: Thin layer and deep beddrying; Grain dryers and Mathematical modeling of crop drying systems;Principles and practices of grain storage: Types and functional requirements ofstorage structures, handling and conveying equipment design.",2021,Spring,3-1-0,4
40,AG39001,AGRICULTURAL MACHINERY LAB.,,,Agricultural and Food Engineering,1.Performance of primary tillage implements.2.Performance of offset discharrow.3.Field evaluation of wetland tillage machinery.4.Field testing oftractor mounted rotavator.5.Performance evaluation of seed meteringmechanisms.6.Calibration and field testing of seed cum fertilizer drill.7.Fieldtesting of rice transplanter.8.Field testing of mechanical weeder.9.Performanceof hydraulic spray nozzles.10.Performance of air carrier sprayers.11.Optimalthroughput capacity of threshers.12.Wear testing of a tillage tool.,2021,Spring,0-0-3,2
41,AG39002,TRACTOR AND POWER SYSTEMS LABORATORY,,,Agricultural and Food Engineering,1.Study of constructional details and working principle of engineparts.2.Evaluation of tractor fuel supply system.3.Evaluation of tractorcooling and lubrication system.4.Evaluation of tractor electricalsystems.5.Design and demonstration of tractor clutches and brakes.6.Study anddesign of tractor power transmission systems.7.Study and evaluation of tractorground drive components.8.Study of mechanical and hydrostatic steering systemof tractors.9.Laboratory testing of an industrial engine.10.PTO power testingof an agricultural tractor.11.Evaluation of tractor noise andvibration.12.Field evaluation of a tractor operators activities.13.Laboratorytesting of the power of an agricultural worker.14.Drawbar performance ofagricultural tractors,2021,Spring,0-0-3,2
42,AG39003,LAND AND WATER RESOURCES ENGINEERING LAB.,,,Agricultural and Food Engineering,"1.Demonstration of hydrological instruments2.Rainfall analysis - estimation ofrainfall erosivity index, mean aerial rainfall, consistency of    records, andnetwork design3.Development of DAD and IDF curves4.Rainfall-runoff processusing rainfall simulator5.Hydrograph analysis6.Unit hydrograph and syntheticunit hydrograph7.Flood routing8.Soil loss estimation9.Design of vegetatedwaterways and bunds10.Design of broad base and bench terraces11.Hydraulicdesign of drop spillway12.Structural design of drop spillway13.Drop inletspillway design14.Chute spillway design",2021,Spring,0-0-3,2
43,AG39004,IRRIGATION AND DRAINAGE ENGINEERING LABORATORY,,,Agricultural and Food Engineering,1.Study of irrigation water measuring devices and calibration2.Study ofevapotranspiration measuring devices and calibration of lysimeter3.Measurementof soil water potential and soil moisture 4.Measurement of infiltration byvolume balance method5.Evaluation of a border irrigation system6.Performanceevaluation of sprinkler nozzles7.Performance evaluation of a drip irrigationsystem8.Study of fertigation equipment9.Study of automated irrigationsystem10.Computational lab on design of sprinkler system11.Computational lab ondesign of drip irrigation system12.Determination of hydraulic conductivityusing Air-Entry Permeameter 13.Determination of hydraulic conductivity usingDouble Tube Permeameter14.Computational lab on determination of drainagecoefficient,2021,Spring,0-0-3,2
44,AG39005,FOOD ENGINEERING LAB.,,,Agricultural and Food Engineering,"Particle size analysis and energy requirement in comminution; High pressurehomogenization of milk and the measurement of fat-globule size before and afterhomogenization; Milling of rice/wheat/pulses; estimation of milling yield andperformance characteristics of equipment used;  Rheological properties ofNewtonian and non-Newtonian liquid food;  Estimation and measurement of flowrate, power requirement and pressure developed in single screw extruder;Establishing the relationship between performance index and mixing time in aplanetary mixer;  Estimation and measurement of cut-off size of milk fat-globules in a disk type centrifugal separator;  Measurement of cake resistance,filter medium resistance and compressibility factor in constant pressurefiltration;  Determination of flow pattern, port arrangement and flow rate-pressure drop relationship in a plate heat exchanger;  Failure mechanics ofbiological tissues;  Saturation vapor pressure-temperature relationships forpure solvent and dilute solutions;  Thermal bactericide to achieve commercialsterility of food in sealed containers;  Dehydration of vegetables in cabinettray dryer.",2021,Spring,0-0-3,2
45,AG39006,FOOD SCIENCE AND TECHNOLOGY LABORATORY,,,Agricultural and Food Engineering,"Quantitative analysis of foods for proximate composition; Determination ofacidity and pH in food; Determination of vitamin (vitamin C); Determination ofsugars (reducing and total); (v) Determination of crude fibers; Estimation ofmineral content in foods; Enzyme activity assay; Testing of rancidity in fatsand oils; Detection of adulterants in foods; Staining of microorganisms;Quantitative estimation of bacteria, yeast and molds; Product manufacture(Ghee/Butter, Ice cream, Jam/Jelly, Potato chips, Bread/Biscuits/Cake,Toffee/Chocolate)",2021,Spring,0-0-3,2
46,AG40011,TUBEWELLS AND PUMPS,,,Agricultural and Food Engineering,"Introduction to Groundwater: Definition of groundwater, occurrence ofgroundwater, physical properties, porosity and permeability, capillarity andcapillary fringe, Darcys law, Dupuit-Forchheimer assumptions, aquifers andaquitards, groundwater development and potential in India, status ofgroundwater resources in India, case histories. Well Hydraulics: Basicassumptions, steady and transient flows, confined, unconfined and leakyaquifers, partially penetrating wells, well interference, well losses, specificcapacity. Pumping Tests: Need of pumping tests, types, design and testprocedures, merits and demerits of pumping test, salient steady and transientmethods for determining aquifer parameters, recovery test, determination ofwell-loss coefficients and well efficiency. Construction of Wells: Types ofwells, test drilling and well logs, well design, methods for constructingshallow wells, drilling techniques for deep wells, cavity wells, bambootubewells, well casings and screens, perforations and gravel packs, wellcementing, well development, stimulation and sterilization of wells, testingwells for yield, protection of wells. Maintenance and Rehabilitation of Wells:Incrustation, corrosion, evaluation of well performance, abandoned wells.Pumps: Classification of water-lifting devices, principles and operation ofimportant indigenous water-lifting devices, positive displacement pumps,centrifugal pumps, vertical turbine pumps, submersible pumps, propeller andmixed flow pumps, affinity laws, jet pumps, air-lift pumps, pump selection,troubles of pumps and remedial measures, evaluation of pump performance, powerrequirements, efficiency and economics of pumping plants.",2021,Spring,3-0-0,3
47,AG48002,COMPREHENSIVE VIVA VOCE,,,Agricultural and Food Engineering,Not Available,2021,Spring,0-0-0,2
48,AG48003,SUMMER TRAINING,,,Agricultural and Food Engineering,Not Available,2021,Spring,0-0-0,2
49,AG57003,PROJECT - PART 3,,,Agricultural and Food Engineering,Not Available,2021,Spring,0-0-0,12
50,AG57004,PROJECT - PART 4,,,Agricultural and Food Engineering,Not Available,2021,Spring,0-0-0,13
51,AG58001,COMPREHENSIVE VIVA VOCE,,,Agricultural and Food Engineering,Not Available,2021,Spring,0-0-0,2
52,AG58002,COMPREHENSIVE VIVA VOCE,,,Agricultural and Food Engineering,Not Available,2021,Spring,0-0-0,2
53,AG60001,TRACTOR SYSTEMS DESIGN I,,,Agricultural and Food Engineering,Trends in tractor design. Engine performance. Selection of engine for tractors.Design of principal engine components. Design of engine systems. Tractorclutches and brakes. Design of power transmission systems. Design and selectionof ground drive components. Design and performance evaluation of traction andtransport devices.,2021,Spring,3-1-0,4
54,AG60004,TRACTOR SYSTEMS DESIGN II,,,Agricultural and Food Engineering,Design of tractor chassis. Tractor stability analysis. Single and three pointhitch systems. Drawbar performance. Quick attaching couplers. Hydrauliccontrols and systems. Design of mechanical and power steering. Human factorsengineering in tractor design.,2021,Spring,3-1-0,4
